phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014366,Madhya Pradesh,Dindori,Bajag,CHANDA,22.562677,81.353691,False,,,
PHCR014367,Madhya Pradesh,Dhar,Gandhwani,BALEDI,22.56353333,75.02215167,False,,,
PHCR014368,Madhya Pradesh,Chhindwada,Harrai,Ojhaldhana,22.56382898,78.99023158,False,,,
PHCR014369,Madhya Pradesh,Indore,Mhow,HARSOLA,22.56451667,75.81448833,False,,,
PHCR014370,Madhya Pradesh,Mandla,Nainpur,Pathasihora,22.56887833,80.16789833,False,,,
PHCR014371,Madhya Pradesh,Dhar,Nalchha,Digthan,22.57254333,75.48512333,False,,,
PHCR014372,Madhya Pradesh,Dewas,Kannod,Kantaphod,22.576252,76.559408,False,,,
PHCR014373,Madhya Pradesh,Dindori,Amarpur,KAMKOMOHANIYA,22.58104857,80.95903404,False,,,
PHCR014374,Madhya Pradesh,Dindori,Samnapur,GORAKANHARI,22.585052,81.22159,False,,,
PHCR014375,Madhya Pradesh,Mandla,Nainpur,Bharveli,22.58715167,80.026005,False,,,
PHCR014376,Madhya Pradesh,Mandla,Bamhani banjar(Mandla),Maharajpur,22.588019,80.363153,False,,,
PHCR014377,Madhya Pradesh,Mandla,Bamhani banjar(Mandla),UPHC Mandla,22.59,80.37,False,,,
PHCR014378,Madhya Pradesh,Dewas,Kannod,Loharada,22.591978,76.595714,False,,,
PHCR014379,Madhya Pradesh,Hoshangabad,Kesla,UPHC Itarasi,22.5924,77.7735,False,,,
PHCR014380,Madhya Pradesh,Indore,Indore,UPHC Shivbaag,22.5956,75.9379,False,,,
PHCR014381,Madhya Pradesh,Mandla,Ghughari,Naijher,22.59735667,80.79539,False,,,
PHCR014382,Madhya Pradesh,Dindori,Karanjiya,BAHARPUR,22.597536,81.452618,False,,,
PHCR014383,Madhya Pradesh,Seoni,Chhapara,Chamari,22.600007,79.599993,False,,,
PHCR014384,Madhya Pradesh,Hoshangabad,Dolaria,Dolaria,22.6004587,77.6335659,False,,,
PHCR014385,Madhya Pradesh,Dhar,Nalchha,Sagore,22.600592,75.605259,False,,,
PHCR014386,Madhya Pradesh,Dhar,Dhar Urban,UPHC Brahmakundi,22.601292,75.302465,False,,,
PHCR014387,Madhya Pradesh,Seoni,Ghansor,Kahani,22.601755,79.807275,False,,,
PHCR014388,Madhya Pradesh,Alirajpur,Bhavra,PHC Burzer,22.602264,74.244344,False,,,
PHCR014389,Madhya Pradesh,Hoshangabad,Sohagpur,Kamti,22.60865167,78.15569167,False,,,
